asset_id,asset_type,asset_category
asset_330,Server,IT
asset_331,Server,IT
asset_332,MRI Scanner,Medical
asset_333,Server,IT
asset_334,Server,IT
asset_335,Server,IT
asset_336,Laptop,IT
asset_337,PC,IT
asset_338,PC,IT
asset_339,ECG,Medical
asset_340,Infusion Pump,Medical
asset_341,PC,IT
asset_342,PC,IT
asset_343,Laptop,IT
asset_344,MRI Scanner,Medical
asset_345,PC,IT
asset_346,ECG,Medical
asset_347,PC,IT
asset_348,Laptop,IT
asset_349,PC,IT
asset_350,Laptop,IT
asset_351,PC,IT
asset_352,Infusion Pump,Medical
asset_353,Laptop,IT
asset_354,PC,IT
asset_355,Laptop,IT
asset_356,Server,IT
asset_357,PC,IT
asset_358,ECG,Medical
asset_359,Server,IT
asset_360,MRI Scanner,Medical
asset_361,Laptop,IT
asset_362,PC,IT
asset_363,ECG,Medical
asset_364,Server,IT
asset_365,Server,IT
asset_366,Laptop,IT
asset_367,Laptop,IT
asset_368,PC,IT
asset_369,Laptop,IT
asset_370,Laptop,IT
asset_371,PC,IT
asset_372,Laptop,IT
asset_373,Server,IT
asset_374,PC,IT
asset_375,Server,IT
asset_376,PC,IT
asset_377,Infusion Pump,Medical
asset_378,MRI Scanner,Medical
asset_379,PC,IT
asset_380,Laptop,IT
asset_381,PC,IT
asset_382,PC,IT
asset_383,Laptop,IT
asset_384,PC,IT
asset_385,ECG,Medical
asset_386,PC,IT
asset_387,PC,IT
asset_388,PC,IT
asset_389,Laptop,IT
asset_390,Server,IT
asset_391,Laptop,IT
asset_392,Server,IT
asset_393,Laptop,IT
asset_394,Server,IT
asset_395,Laptop,IT
asset_396,Infusion Pump,Medical
asset_397,Laptop,IT
asset_398,ECG,Medical
asset_399,Server,IT
asset_400,PC,IT
asset_401,ECG,Medical
asset_402,Server,IT
asset_403,PC,IT
asset_404,Server,IT
asset_405,Laptop,IT
asset_406,PC,IT
asset_407,Laptop,IT
asset_408,Laptop,IT
asset_409,Laptop,IT
asset_410,Laptop,IT
asset_411,ECG,Medical
asset_412,Server,IT
asset_413,Laptop,IT
asset_414,MRI Scanner,Medical
asset_415,PC,IT
asset_416,PC,IT
asset_417,Server,IT
asset_418,Server,IT
asset_419,Infusion Pump,Medical
asset_420,MRI Scanner,Medical
asset_421,PC,IT
asset_422,Server,IT
asset_423,ECG,Medical
asset_424,Laptop,IT
asset_425,Laptop,IT
asset_426,Laptop,IT
asset_427,Infusion Pump,Medical
asset_428,PC,IT
asset_429,Server,IT
asset_430,PC,IT
asset_431,Server,IT
asset_432,Laptop,IT
asset_433,PC,IT
asset_434,Server,IT
asset_435,Server,IT
asset_436,PC,IT
asset_437,Laptop,IT
asset_438,MRI Scanner,Medical
asset_439,Server,IT
asset_440,MRI Scanner,Medical
asset_441,Server,IT
asset_442,Laptop,IT
asset_443,Laptop,IT
asset_444,Laptop,IT
asset_445,Laptop,IT
asset_446,Laptop,IT
asset_447,PC,IT
asset_448,MRI Scanner,Medical
asset_449,Infusion Pump,Medical
asset_450,Server,IT
asset_451,PC,IT
asset_452,Laptop,IT
asset_453,Server,IT
asset_454,PC,IT
asset_455,Laptop,IT
asset_456,Server,IT
asset_457,Laptop,IT
asset_458,Laptop,IT
asset_459,PC,IT
asset_460,ECG,Medical
asset_461,PC,IT
asset_462,Server,IT
asset_463,Laptop,IT
asset_464,Infusion Pump,Medical
asset_465,Server,IT
asset_466,Server,IT
asset_467,Laptop,IT
asset_468,Laptop,IT
asset_469,PC,IT
asset_470,MRI Scanner,Medical
asset_471,MRI Scanner,Medical
asset_472,Server,IT
asset_473,Laptop,IT
asset_474,Laptop,IT
asset_475,Server,IT
asset_476,PC,IT
asset_477,MRI Scanner,Medical
asset_478,PC,IT
asset_479,Infusion Pump,Medical
asset_480,Server,IT
asset_481,ECG,Medical
asset_482,Laptop,IT
asset_483,Server,IT
asset_484,MRI Scanner,Medical
asset_485,Laptop,IT
asset_486,Infusion Pump,Medical
asset_487,PC,IT
asset_488,Server,IT
asset_489,Laptop,IT
asset_490,PC,IT
asset_491,PC,IT
asset_492,PC,IT
asset_493,PC,IT
asset_494,Server,IT
asset_495,PC,IT
asset_496,PC,IT
asset_497,Laptop,IT
asset_498,Server,IT
asset_499,PC,IT
asset_500,ECG,Medical
asset_501,ECG,Medical
asset_502,Server,IT
asset_503,Infusion Pump,Medical
asset_504,ECG,Medical
asset_505,Infusion Pump,Medical
asset_506,MRI Scanner,Medical
asset_507,Laptop,IT
asset_508,Laptop,IT
asset_509,MRI Scanner,Medical
asset_510,Server,IT
asset_511,PC,IT
asset_512,Laptop,IT
asset_513,Laptop,IT
asset_514,PC,IT
asset_515,MRI Scanner,Medical
asset_516,Laptop,IT
asset_517,Infusion Pump,Medical
asset_518,PC,IT
asset_519,Server,IT
asset_520,MRI Scanner,Medical
asset_521,Server,IT
asset_522,PC,IT
asset_523,Laptop,IT
asset_524,Server,IT
asset_525,Server,IT
asset_526,Server,IT
asset_527,MRI Scanner,Medical
asset_528,PC,IT
asset_529,Laptop,IT
asset_530,PC,IT
asset_531,ECG,Medical
asset_532,Infusion Pump,Medical
asset_533,Laptop,IT
asset_534,Laptop,IT
asset_535,Server,IT
asset_536,Laptop,IT
asset_537,Infusion Pump,Medical
asset_538,PC,IT
asset_539,Server,IT
asset_540,PC,IT
asset_541,PC,IT
asset_542,MRI Scanner,Medical
asset_543,Laptop,IT
asset_544,ECG,Medical
asset_545,PC,IT
asset_546,Server,IT
asset_547,Laptop,IT
asset_548,ECG,Medical
asset_549,Infusion Pump,Medical
asset_550,ECG,Medical
asset_551,Server,IT
asset_552,Server,IT
asset_553,PC,IT
asset_554,Server,IT
asset_555,MRI Scanner,Medical
asset_556,Server,IT
asset_557,Server,IT
asset_558,Laptop,IT
asset_559,MRI Scanner,Medical
asset_560,Laptop,IT
asset_561,PC,IT
asset_562,ECG,Medical
asset_563,Laptop,IT
asset_564,Laptop,IT
asset_565,PC,IT
asset_566,Laptop,IT
asset_567,Server,IT
asset_568,Server,IT
asset_569,MRI Scanner,Medical
asset_570,PC,IT
asset_571,PC,IT
asset_572,Server,IT
asset_573,Server,IT
asset_574,PC,IT
asset_575,Laptop,IT
asset_576,MRI Scanner,Medical
asset_577,Server,IT
asset_578,PC,IT
asset_579,ECG,Medical
asset_580,Laptop,IT
asset_581,Server,IT
asset_582,MRI Scanner,Medical
asset_583,Server,IT
asset_584,Server,IT
asset_585,PC,IT
asset_586,PC,IT
asset_587,Server,IT
asset_588,Server,IT
asset_589,Server,IT
asset_590,Infusion Pump,Medical
asset_591,MRI Scanner,Medical
asset_592,Laptop,IT
asset_593,Laptop,IT
asset_594,Laptop,IT
asset_595,Server,IT
asset_596,ECG,Medical
asset_597,Infusion Pump,Medical
asset_598,PC,IT
asset_599,Laptop,IT
asset_600,Server,IT
asset_601,Laptop,IT
asset_602,ECG,Medical
asset_603,PC,IT
asset_604,PC,IT
asset_605,Server,IT
asset_606,Laptop,IT
asset_607,Laptop,IT
asset_608,Server,IT
asset_609,Laptop,IT
asset_610,Server,IT
asset_611,Server,IT
asset_612,Server,IT
asset_613,Server,IT
asset_614,ECG,Medical
asset_615,Server,IT
asset_616,Server,IT
asset_617,Server,IT
asset_618,PC,IT
asset_619,Laptop,IT
asset_620,Laptop,IT
asset_621,Laptop,IT
asset_622,Infusion Pump,Medical
asset_623,Laptop,IT
asset_624,PC,IT
asset_625,Server,IT
asset_626,Infusion Pump,Medical
asset_627,Laptop,IT
asset_628,PC,IT
asset_629,Server,IT
asset_630,Laptop,IT
asset_631,PC,IT
asset_632,Laptop,IT
asset_633,Server,IT
asset_634,Infusion Pump,Medical
asset_635,PC,IT
asset_636,Server,IT
asset_637,PC,IT
asset_638,Laptop,IT
asset_639,Laptop,IT
asset_640,ECG,Medical
asset_641,Laptop,IT
asset_642,Infusion Pump,Medical
asset_643,Laptop,IT
asset_644,Server,IT
asset_645,MRI Scanner,Medical
asset_646,MRI Scanner,Medical
asset_647,Server,IT
asset_648,ECG,Medical
asset_649,Server,IT
asset_650,Server,IT
asset_651,Server,IT
asset_652,Server,IT
asset_653,PC,IT
asset_654,PC,IT
asset_655,Laptop,IT
asset_656,PC,IT
asset_657,Server,IT
asset_658,PC,IT
asset_659,Laptop,IT
asset_660,Laptop,IT
asset_661,Server,IT
asset_662,Server,IT
asset_663,PC,IT
asset_664,ECG,Medical
asset_665,Laptop,IT
asset_666,Server,IT
asset_667,Server,IT
asset_668,MRI Scanner,Medical
asset_669,MRI Scanner,Medical
asset_670,Laptop,IT
asset_671,ECG,Medical
asset_672,PC,IT
asset_673,Server,IT
asset_674,Infusion Pump,Medical
asset_675,Server,IT
asset_676,ECG,Medical
asset_677,Laptop,IT
asset_678,MRI Scanner,Medical
asset_679,Laptop,IT
asset_680,PC,IT
asset_681,Server,IT
asset_682,PC,IT
asset_683,ECG,Medical
asset_684,PC,IT
asset_685,Laptop,IT
asset_686,Laptop,IT
asset_687,ECG,Medical
asset_688,MRI Scanner,Medical
asset_689,ECG,Medical
asset_690,Server,IT
asset_691,PC,IT
asset_692,Server,IT
asset_693,Laptop,IT
asset_694,Laptop,IT
asset_695,Laptop,IT
asset_696,Server,IT
asset_697,Server,IT
asset_698,Laptop,IT
asset_699,Server,IT
asset_700,Laptop,IT
asset_701,Laptop,IT
asset_702,Laptop,IT
asset_703,PC,IT
asset_704,Server,IT
asset_705,PC,IT
asset_706,Laptop,IT
asset_707,Infusion Pump,Medical
asset_708,Laptop,IT
asset_709,PC,IT
asset_710,PC,IT
asset_711,PC,IT
asset_712,Server,IT
asset_713,PC,IT
asset_714,Server,IT
asset_715,Laptop,IT
asset_716,PC,IT
asset_717,Infusion Pump,Medical
asset_718,Infusion Pump,Medical
asset_719,Server,IT
asset_720,Laptop,IT
asset_721,Server,IT
asset_722,MRI Scanner,Medical
asset_723,PC,IT
asset_724,Laptop,IT
asset_725,Infusion Pump,Medical
asset_726,Laptop,IT
asset_727,Laptop,IT
asset_728,ECG,Medical
asset_729,Laptop,IT
asset_730,Infusion Pump,Medical
asset_731,Server,IT
asset_732,Laptop,IT
asset_733,Infusion Pump,Medical
asset_734,PC,IT
asset_735,MRI Scanner,Medical
asset_736,PC,IT
asset_737,ECG,Medical
asset_738,Server,IT
asset_739,Server,IT
asset_740,Server,IT
asset_741,ECG,Medical
asset_742,Laptop,IT
asset_743,Server,IT
asset_744,Server,IT
asset_745,Laptop,IT
asset_746,Laptop,IT
asset_747,Server,IT
asset_748,Laptop,IT
asset_749,Laptop,IT
asset_750,Laptop,IT
asset_751,Server,IT
asset_752,ECG,Medical
asset_753,PC,IT
asset_754,Infusion Pump,Medical
asset_755,MRI Scanner,Medical
asset_756,PC,IT
asset_757,PC,IT
asset_758,Laptop,IT
asset_759,ECG,Medical
asset_760,Server,IT
asset_761,PC,IT
asset_762,Laptop,IT
asset_763,Infusion Pump,Medical
asset_764,MRI Scanner,Medical
asset_765,Laptop,IT
asset_766,PC,IT
asset_767,Infusion Pump,Medical
asset_768,PC,IT
asset_769,PC,IT
asset_770,PC,IT
asset_771,Laptop,IT
asset_772,Laptop,IT
asset_773,Server,IT
asset_774,Server,IT
asset_775,Laptop,IT
asset_776,Laptop,IT
asset_777,Laptop,IT
asset_778,PC,IT
asset_779,PC,IT
asset_780,ECG,Medical
asset_781,ECG,Medical
asset_782,Laptop,IT
asset_783,MRI Scanner,Medical
asset_784,PC,IT
asset_785,Infusion Pump,Medical
asset_786,PC,IT
asset_787,PC,IT
asset_788,ECG,Medical
asset_789,PC,IT
asset_790,Infusion Pump,Medical
asset_791,PC,IT
asset_792,MRI Scanner,Medical
asset_793,Server,IT
asset_794,Laptop,IT
asset_795,Laptop,IT
asset_796,Server,IT
asset_797,Server,IT
asset_798,PC,IT
asset_799,PC,IT
asset_800,PC,IT
asset_801,Server,IT
asset_802,PC,IT
asset_803,PC,IT
asset_804,ECG,Medical
asset_805,Infusion Pump,Medical
asset_806,Laptop,IT
asset_807,Infusion Pump,Medical
asset_808,Server,IT
asset_809,PC,IT
asset_810,Laptop,IT
asset_811,Server,IT
asset_812,ECG,Medical
asset_813,ECG,Medical
asset_814,PC,IT
asset_815,Infusion Pump,Medical
asset_816,PC,IT
asset_817,Server,IT
asset_818,PC,IT
asset_819,Server,IT
asset_820,PC,IT
asset_821,Server,IT
asset_822,Laptop,IT
asset_823,Server,IT
asset_824,ECG,Medical
asset_825,Laptop,IT
asset_826,PC,IT
asset_827,MRI Scanner,Medical
asset_828,MRI Scanner,Medical
asset_829,Server,IT
asset_830,ECG,Medical
asset_831,Server,IT
asset_832,PC,IT
asset_833,ECG,Medical
asset_834,Laptop,IT
asset_835,Infusion Pump,Medical
asset_836,Laptop,IT
asset_837,MRI Scanner,Medical
asset_838,Server,IT
asset_839,Infusion Pump,Medical
asset_840,PC,IT
asset_841,Laptop,IT
asset_842,Laptop,IT
asset_843,Infusion Pump,Medical
asset_844,Laptop,IT
asset_845,Server,IT
asset_846,Infusion Pump,Medical
asset_847,Server,IT
asset_848,PC,IT
asset_849,PC,IT
asset_850,PC,IT
asset_851,Infusion Pump,Medical
asset_852,Server,IT
asset_853,Infusion Pump,Medical
asset_854,PC,IT
asset_855,Server,IT
asset_856,Infusion Pump,Medical
asset_857,MRI Scanner,Medical
asset_858,PC,IT
asset_859,PC,IT
asset_860,Laptop,IT
asset_861,Server,IT
asset_862,Server,IT
asset_863,PC,IT
asset_864,Laptop,IT
asset_865,Server,IT
asset_866,PC,IT
asset_867,ECG,Medical
asset_868,ECG,Medical
asset_869,Server,IT
asset_870,Infusion Pump,Medical
asset_871,PC,IT
asset_872,Laptop,IT
asset_873,PC,IT
asset_874,ECG,Medical
asset_875,MRI Scanner,Medical
asset_876,Server,IT
asset_877,Infusion Pump,Medical
asset_878,Server,IT
asset_879,PC,IT
asset_880,Server,IT
asset_881,MRI Scanner,Medical
asset_882,Server,IT
asset_883,PC,IT
asset_884,Laptop,IT
asset_885,ECG,Medical
asset_886,Laptop,IT
asset_887,ECG,Medical
asset_888,Laptop,IT
asset_889,ECG,Medical
asset_890,Laptop,IT
asset_891,Laptop,IT
asset_892,Infusion Pump,Medical
asset_893,PC,IT
asset_894,PC,IT
asset_895,ECG,Medical
asset_896,PC,IT
asset_897,Server,IT
asset_898,Laptop,IT
asset_899,Laptop,IT
asset_900,ECG,Medical
asset_901,Laptop,IT
asset_902,PC,IT
asset_903,MRI Scanner,Medical
asset_904,Server,IT
asset_905,MRI Scanner,Medical
asset_906,PC,IT
asset_907,Laptop,IT
asset_908,Laptop,IT
asset_909,Server,IT
asset_910,PC,IT
asset_911,Server,IT
asset_912,Laptop,IT
asset_913,Infusion Pump,Medical
asset_914,Server,IT
asset_915,Laptop,IT
asset_916,Infusion Pump,Medical
asset_917,PC,IT
asset_918,MRI Scanner,Medical
asset_919,PC,IT
asset_920,MRI Scanner,Medical
asset_921,Infusion Pump,Medical
asset_922,PC,IT
asset_923,Infusion Pump,Medical
asset_924,PC,IT
asset_925,Laptop,IT
asset_926,PC,IT
asset_927,Server,IT
asset_928,ECG,Medical
asset_929,Server,IT
asset_930,Server,IT
asset_931,Server,IT
asset_932,PC,IT
asset_933,MRI Scanner,Medical
asset_934,Laptop,IT
asset_935,Laptop,IT
asset_936,Laptop,IT
asset_937,Laptop,IT
asset_938,Infusion Pump,Medical
asset_939,PC,IT
asset_940,Server,IT
asset_941,Server,IT
asset_942,PC,IT
asset_943,Laptop,IT
asset_944,PC,IT
asset_945,Laptop,IT
asset_946,Server,IT
asset_947,PC,IT
asset_948,Server,IT
asset_949,MRI Scanner,Medical
asset_950,Server,IT
asset_951,PC,IT
asset_952,Laptop,IT
asset_953,Server,IT
asset_954,PC,IT
asset_955,ECG,Medical
asset_956,PC,IT
asset_957,PC,IT
asset_958,ECG,Medical
asset_959,Server,IT
asset_960,ECG,Medical
asset_961,PC,IT
asset_962,Server,IT
asset_963,Laptop,IT
asset_964,Server,IT
asset_965,PC,IT
asset_966,Server,IT
asset_967,Laptop,IT
asset_968,PC,IT
asset_969,Server,IT
asset_970,Laptop,IT
asset_971,PC,IT
asset_972,Server,IT
asset_973,PC,IT
asset_974,MRI Scanner,Medical
asset_975,Laptop,IT
asset_976,PC,IT
asset_977,Server,IT
asset_978,Laptop,IT
asset_979,PC,IT
asset_980,Laptop,IT
asset_981,PC,IT
asset_982,PC,IT
asset_983,Infusion Pump,Medical
asset_984,Server,IT
asset_985,PC,IT
asset_986,Server,IT
asset_987,Laptop,IT
asset_988,Server,IT
asset_989,PC,IT
asset_990,Laptop,IT
asset_991,Server,IT
asset_992,PC,IT
asset_993,Infusion Pump,Medical
asset_994,PC,IT
asset_995,Infusion Pump,Medical
asset_996,Infusion Pump,Medical
asset_997,PC,IT
asset_998,Laptop,IT
asset_999,ECG,Medical
asset_1000,Server,IT
asset_1001,Server,IT
asset_1002,PC,IT
asset_1003,ECG,Medical
asset_1004,Server,IT
asset_1005,PC,IT
asset_1006,Infusion Pump,Medical
asset_1007,Infusion Pump,Medical
asset_1008,Laptop,IT
asset_1009,MRI Scanner,Medical
asset_1010,Laptop,IT
asset_1011,PC,IT
asset_1012,Laptop,IT
asset_1013,PC,IT
asset_1014,Laptop,IT
asset_1015,Infusion Pump,Medical
asset_1016,Server,IT
asset_1017,Laptop,IT
asset_1018,Server,IT
asset_1019,Laptop,IT
asset_1020,PC,IT
asset_1021,Laptop,IT
asset_1022,Server,IT
asset_1023,Laptop,IT
asset_1024,Laptop,IT
asset_1025,Server,IT
asset_1026,PC,IT
asset_1027,Laptop,IT
asset_1028,Infusion Pump,Medical
asset_1029,Infusion Pump,Medical
asset_1030,PC,IT
asset_1031,MRI Scanner,Medical
asset_1032,ECG,Medical
asset_1033,Server,IT
asset_1034,PC,IT
asset_1035,Infusion Pump,Medical
asset_1036,Server,IT
asset_1037,PC,IT
asset_1038,MRI Scanner,Medical
asset_1039,Server,IT
asset_1040,Server,IT
asset_1041,Server,IT
asset_1042,PC,IT
asset_1043,Infusion Pump,Medical
asset_1044,Laptop,IT
asset_1045,Server,IT
asset_1046,Server,IT
asset_1047,MRI Scanner,Medical
asset_1048,PC,IT
asset_1049,Laptop,IT
asset_1050,MRI Scanner,Medical
asset_1051,Server,IT
asset_1052,Infusion Pump,Medical
asset_1053,Infusion Pump,Medical
asset_1054,Laptop,IT
asset_1055,PC,IT
asset_1056,Server,IT
asset_1057,MRI Scanner,Medical
asset_1058,MRI Scanner,Medical
asset_1059,Laptop,IT
asset_1060,Laptop,IT
asset_1061,Laptop,IT
asset_1062,PC,IT
asset_1063,Server,IT
asset_1064,Laptop,IT
asset_1065,PC,IT
asset_1066,Server,IT
asset_1067,Server,IT
asset_1068,Server,IT
asset_1069,PC,IT
asset_1070,Infusion Pump,Medical
asset_1071,Server,IT
asset_1072,Server,IT
asset_1073,MRI Scanner,Medical
asset_1074,ECG,Medical
asset_1075,ECG,Medical
asset_1076,Server,IT
asset_1077,PC,IT
asset_1078,Infusion Pump,Medical
asset_1079,Laptop,IT
asset_1080,Server,IT
asset_1081,PC,IT
asset_1082,Infusion Pump,Medical
asset_1083,Server,IT
asset_1084,PC,IT
asset_1085,Laptop,IT
asset_1086,PC,IT
asset_1087,PC,IT
asset_1088,Server,IT
asset_1089,Server,IT
asset_1090,Server,IT
asset_1091,ECG,Medical
asset_1092,MRI Scanner,Medical
asset_1093,Infusion Pump,Medical
asset_1094,PC,IT
asset_1095,ECG,Medical
asset_1096,Laptop,IT
