connection_type,ip,mac,device_id,category,sub_category,manufacturer,type,model,serial_number,os,sw_fw_version,hw_version,vlan,connector_device_id,ap_name,ap_location,risk_score_points,risk_score
Ethernet Connection,10.5.29.241,C0:EA:E4:4F:F9:8A,CQPCXTRZJV,IT,Network,Sonicwall,Firewall,NSA 3600,NRCV7ZUVD,VxWorks,6.2.7.1-23n,N/A,205,N/A,N/A,N/A,72,Critical
Ethernet Connection,10.5.29.196,0A:65:BC:4C:FC:90,CQPCXTSJER,Medical,Imaging,Konica Minolta,Imaging Workstation,CS-7,VMI66SBXC2T,Windows 10 SP1,N/A,N/A,205,N/A,N/A,N/A,36,Very Low
Ethernet Connection,10.5.29.191,0A:65:BC:5E:6B:C9,CQPCZEHGMV,IoT,General IoT,Lexmark,Printer,Laser Printer,N/A,N/A,N/A,N/A,205,N/A,N/A,N/A,35,Very Low
Ethernet Connection,10.5.29.190,0A:65:BC:EF:AF:CA,CQPDAOWCHP,IoT,General IoT,Lexmark,Printer,Laser Printer,N/A,N/A,N/A,N/A,205,N/A,N/A,N/A,72,Critical
Ethernet Connection,10.5.29.242,0A:65:BC:5F:3B:6E,CQPDBRZKKA,Medical,Patient Devices,Roche,Glucose Meter Gateway,Accu-Chek Gateway,N/A,Windows 7/Server 2008 R2,N/A,N/A,205,N/A,N/A,N/A,40,Very Low
Ethernet Connection,10.5.29.193,0A:65:BC:90:74:40,CQPDBZKWOZ,IoT,General IoT,Lexmark,Printer,T652,N/A,N/A,N/A,N/A,205,N/A,N/A,N/A,40,Very Low
Ethernet Connection,10.5.29.192,0A:65:BC:5E:9A:56,CQPDDJZSJT,IoT,General IoT,Lexmark,Printer,MS811,N/A,N/A,N/A,N/A,205,N/A,N/A,N/A,48,Medium
Ethernet Connection,10.5.29.187,0A:65:BC:54:48:DC,CQPDEUOPRX,IT,Servers,SolarWinds,Network Scanner,Network Performance Monitor,N/A,Windows 8,2019.4,N/A,205,N/A,N/A,N/A,76,Critical
Ethernet Connection,10.5.29.186,0A:65:BC:1E:DD:D4,CQPDGFDLMR,IT,Servers,Rapid7,Network Scanner,Nexpose,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,46,Medium
Ethernet Connection,10.5.29.189,0A:65:BC:D6:82:87,CQPDHPSFUB,IoT,General IoT,Lexmark,Printer,MS811,N/A,N/A,N/A,N/A,205,N/A,N/A,N/A,71,Critical
Ethernet Connection,10.5.29.188,0A:65:BC:C3:78:85,CQPDJAHBOV,IT,Servers,SolarWinds,Network Scanner,Network Performance Monitor,N/A,Windows 8,2019.4,N/A,205,N/A,N/A,N/A,44,Very Low
Ethernet Connection,10.5.29.183,0A:65:BC:09:4C:30,CQPDKKVYWZ,IT,Servers,Rapid7,Network Scanner,Nexpose,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,63,High
Ethernet Connection,10.5.29.182,0A:65:BC:94:6C:DD,CQPDLVKURT,IT,Servers,Rapid7,Network Scanner,Nexpose,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,63,High
Ethernet Connection,10.5.29.185,0A:65:BC:07:3C:AD,CQPDNFZOZD,IT,Servers,Rapid7,Network Scanner,Nexpose,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,63,High
Ethernet Connection,10.5.29.184,0A:65:BC:A3:C4:4E,CQPDOQOKTX,IT,Servers,Rapid7,Network Scanner,Nexpose,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,80,Critical
Ethernet Connection,10.5.29.179,0A:65:BC:67:1F:8C,CQPDQBDICB,IT,Servers,N/A,Domain Server,N/A,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,41,Very Low
Ethernet Connection,10.5.29.178,0A:65:BC:1D:39:55,CQPDRLSDWV,IT,Servers,N/A,Domain Server,N/A,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,53,Medium
Ethernet Connection,10.5.29.181,0A:65:BC:82:9E:7C,CQPDSWGYEF,IT,Servers,Rapid7,Network Scanner,Nexpose,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,61,High
Ethernet Connection,10.5.29.180,0A:65:BC:B4:93:8F,CQPDUGVTYZ,IT,Servers,N/A,Domain Server,N/A,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,74,Critical
Ethernet Connection,10.5.29.175,0A:65:BC:EE:02:69,CQPDVRKRHD,IT,Servers,N/A,Domain Server,N/A,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,67,High
Ethernet Connection,10.5.29.174,0A:65:BC:5A:C4:12,CQPDXBZNBX,IT,Servers,N/A,Domain Server,N/A,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,57,Medium
Ethernet Connection,10.5.29.177,0A:65:BC:B7:EB:2C,CQPDYMOHJH,IT,Servers,N/A,Domain Server,N/A,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,72,Critical
Ethernet Connection,10.5.29.176,0A:65:BC:9F:18:1B,CQPDZXDDEB,IT,Servers,N/A,Domain Server,N/A,N/A,Windows,N/A,N/A,205,N/A,N/A,N/A,48,Medium
Ethernet Connection,10.62.2.128,00:A0:AA:20:76:E0,CQPBMYINEI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,211,N/A,N/A,N/A,58,Medium
Ethernet Connection,10.62.2.129,00:A0:AA:F4:29:3B,CQPBYHEWSI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,211,N/A,N/A,N/A,50,Medium
Ethernet Connection,10.82.62.5,00:A0:AA:CA:7B:31,CQPDAHDCSA,Medical,Patient Devices,Spacelabs,Central Station,Xhibit XC48,N/A,Windows 7 Embedded SP1,3.07.00,N/A,212,N/A,N/A,N/A,38,Very Low
Ethernet Connection,10.81.31.223,00:A0:AA:1E:63:C4,CQPCLAXNYI,Medical,Patient Devices,Spacelabs,Central Station,Xhibit XC48,N/A,Windows 7 Embedded SP1,3.07.00,N/A,221,N/A,N/A,N/A,51,Medium
Ethernet Connection,10.76.42.39,00:A0:AA:5F:EF:7F,CQPCGUINVO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,225,N/A,N/A,N/A,51,Medium
Ethernet Connection,10.74.38.225,00:A0:AA:BE:61:5B,CQPBOJEUWI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,226,N/A,N/A,N/A,69,High
Ethernet Connection,10.74.38.226,00:A0:AA:A2:91:0E,CQPCDYPYLO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,226,N/A,N/A,N/A,67,High
Ethernet Connection,10.70.44.208,00:A0:AA:52:E6:52,CQPBDAILII,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,228,N/A,N/A,N/A,37,Very Low
Ethernet Connection,10.53.27.26,00:A0:AA:EB:ED:89,CQPCSDEXJO,Medical,Patient Devices,Spacelabs,Central Station,Xhibit XC48,N/A,Windows 7 Embedded SP1,3.07.00,N/A,229,N/A,N/A,N/A,34,Very Low
Ethernet Connection,10.75.8.216,00:A0:AA:90:30:30,CQPBPUBCOI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,232,N/A,N/A,N/A,36,Very Low
Ethernet Connection,10.83.14.186,0A:65:BC:A8:10:B8,CQPCIFEUUC,Medical,Clinical IoT,InTouch Health,Telemedicine,RP Robot,N/A,N/A,N/A,N/A,235,N/A,N/A,N/A,61,High
Ethernet Connection,10.67.11.156,00:A0:AA:ED:CA:72,CQPBHGXFJO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,239,N/A,N/A,N/A,39,Very Low
Ethernet Connection,10.69.62.88,00:A0:AA:DC:D2:6C,CQPBAEPVYI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,241,N/A,N/A,N/A,70,Critical
Ethernet Connection,10.52.25.30,00:A0:AA:C6:B3:10,CQPBWWIPAI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,243,N/A,N/A,N/A,78,Critical
Ethernet Connection,10.79.46.189,00:A0:AA:B5:32:24,CQPCPHMHZO,Medical,Patient Devices,Spacelabs,Central Station,Xhibit XC48,N/A,Windows 7 Embedded SP1,3.07.00,N/A,244,N/A,N/A,N/A,56,Medium
Ethernet Connection,10.21.28.82,00:A0:AA:A6:F2:9A,CQPCNWQAHO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,245,N/A,N/A,N/A,68,High
Ethernet Connection,10.28.0.148,00:A0:AA:3B:44:63,CQPBBPMDQI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,247,N/A,N/A,N/A,61,High
Ethernet Connection,10.28.0.149,0A:65:BC:C9:1D:8D,CQPBHGXKRQ,Medical,Clinical IoT,Hill-Rom,Nurse Call,NaviCare Nurse Call 3,N/A,Windows,N/A,N/A,247,N/A,N/A,N/A,77,Critical
Ethernet Connection,10.78.41.111,00:A0:AA:11:D5:17,CQPCBCXMCI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,249,N/A,N/A,N/A,49,Medium
Ethernet Connection,10.51.55.37,00:A0:AA:55:38:61,CQPBUAPWPO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,250,N/A,N/A,N/A,58,Medium
Ethernet Connection,10.57.17.255,00:A0:AA:2A:97:2E,CQPBELETAI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,251,N/A,N/A,N/A,75,Critical
Ethernet Connection,10.73.55.213,00:A0:AA:75:EB:FC,CQPBVLMEHO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,253,N/A,N/A,N/A,33,Very Low
Ethernet Connection,10.72.51.34,00:A0:AA:D9:79:DE,CQPBSPTOXO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,254,N/A,N/A,N/A,44,Very Low
Ethernet Connection,10.72.51.35,00:A0:AA:69:DE:CA,CQPCMLTVQI,Medical,Patient Devices,Spacelabs,Central Station,Xhibit XC48,N/A,Windows 7 Embedded SP1,3.07.00,N/A,254,N/A,N/A,N/A,62,High
Ethernet Connection,10.39.17.108,00:A0:AA:59:35:AC,CQPCJQBGGI,Medical,Patient Devices,Spacelabs,Central Station,Xhibit XC48,N/A,Windows 7 Embedded SP1,3.07.00,N/A,256,N/A,N/A,N/A,62,High
Ethernet Connection,10.77.10.155,00:A0:AA:08:EE:8A,CQPBZSBEKI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,257,N/A,N/A,N/A,39,Very Low
Ethernet Connection,10.31.53.27,0A:65:BC:6C:29:49,CQPBFWBCZQ,Medical,Clinical IoT,Hill-Rom,Nurse Call,NaviCare Nurse Call 3,N/A,Windows,N/A,N/A,259,N/A,N/A,N/A,36,Very Low
Ethernet Connection,10.47.35.148,0A:65:BC:A5:67:6E,CQPCJQBCMC,Medical,Clinical IoT,InTouch Health,Telemedicine,RP Robot,N/A,N/A,N/A,N/A,261,N/A,N/A,N/A,53,Medium
Ethernet Connection,10.36.4.234,0A:65:BC:C7:24:09,CQPCLAXIQS,Medical,Clinical IoT,Hill-Rom,Nurse Call,NaviCare Nurse Call 3,N/A,Windows,N/A,N/A,268,N/A,N/A,N/A,49,Medium
Ethernet Connection,10.59.53.205,00:A0:AA:6C:98:C7,CQPBFWAXRO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,271,N/A,N/A,N/A,78,Critical
Ethernet Connection,10.48.29.2,00:A0:AA:17:8A:BA,CQPCFJMGDO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,272,N/A,N/A,N/A,59,Medium
Ethernet Connection,10.80.48.82,00:A0:AA:BC:8F:56,CQPCIFEYOI,Medical,Patient Devices,Spacelabs,Central Station,Xhibit XC48,N/A,Windows 7 Embedded SP1,3.07.00,N/A,274,N/A,N/A,N/A,48,Medium
Ethernet Connection,10.80.48.84,0A:65:BC:83:4B:F3,CQPCQSINKS,Medical,Clinical IoT,InTouch Health,Telemedicine,RP Robot,N/A,N/A,N/A,N/A,274,N/A,N/A,N/A,69,High
Ethernet Connection,10.80.48.83,00:A0:AA:89:4E:6F,CQPCYWGVAA,Medical,Patient Devices,Spacelabs,Central Station,Xhibit XC48,N/A,Windows 7 Embedded SP1,3.07.00,N/A,274,N/A,N/A,N/A,51,Medium
Ethernet Connection,10.33.37.175,0A:65:BC:A9:DF:FF,CQPCMLTQIS,Medical,Clinical IoT,Hill-Rom,Nurse Call,NaviCare Nurse Call 3,N/A,Windows,N/A,N/A,275,N/A,N/A,N/A,60,High
Ethernet Connection,10.33.37.174,00:A0:AA:4A:98:9C,CQPCQSIPRO,Medical,Patient Devices,Spacelabs,Central Station,Xhibit XC48,N/A,Windows 7 Embedded SP1,3.07.00,N/A,275,N/A,N/A,N/A,51,Medium
Ethernet Connection,10.37.54.98,00:A0:AA:16:09:9A,CQPBIRTNBO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,276,N/A,N/A,N/A,72,Critical
Ethernet Connection,10.41.34.64,00:A0:AA:73:AC:90,CQPBLNMFMI,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,277,N/A,N/A,N/A,30,Very Low
Ethernet Connection,10.71.57.12,00:A0:AA:BF:3C:72,CQPBREXHFO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,282,N/A,N/A,N/A,80,Critical
Ethernet Connection,10.38.21.94,0A:65:BC:B2:17:1C,CQPBKCPYOG,Medical,Clinical IoT,Hill-Rom,Nurse Call,NaviCare Nurse Call 3,N/A,Windows,N/A,N/A,283,N/A,N/A,N/A,48,Medium
Ethernet Connection,10.68.24.154,00:A0:AA:B7:EA:D2,CQPBKCPUTO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,290,N/A,N/A,N/A,34,Very Low
Ethernet Connection,10.68.24.155,00:A0:AA:4A:DB:28,CQPCCNTQTO,Medical,Patient Devices,Spacelabs,Patient Monitor,Xprezzon,N/A,VxWorks 6.6,3.05.00,N/A,290,N/A,N/A,N/A,69,High
Ethernet Connection,10.85.34.65,0A:65:BC:46:F8:58,CQPBREXEFC,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,300,N/A,N/A,N/A,49,Medium
Ethernet Connection,10.85.34.39,0A:65:BC:FA:C7:70,CQPCLAXJAP,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,300,N/A,N/A,N/A,34,Very Low
Ethernet Connection,10.85.34.40,0A:65:BC:D3:14:44,CQPCQSINUP,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,300,N/A,N/A,N/A,58,Medium
Ethernet Connection,10.85.34.41,0A:65:BC:FD:C8:7C,CQPDHJKNHB,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,300,N/A,N/A,N/A,39,Very Low
Ethernet Connection,10.85.34.66,0A:65:BC:8F:B6:65,CQPDIUGWWI,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,300,N/A,N/A,N/A,69,High
Ethernet Connection,10.85.34.21,0A:65:BC:40:79:47,CQPDLPZLMO,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,300,N/A,N/A,N/A,43,Very Low
Ethernet Connection,10.85.34.20,0A:65:BC:F7:79:02,CQPDNAVRRE,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,300,N/A,N/A,N/A,36,Very Low
Ethernet Connection,10.85.34.42,0A:65:BC:B2:F2:2A,CQPEIHSEET,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,300,N/A,N/A,N/A,48,Medium
Ethernet Connection,10.8.58.206,0A:65:BC:25:53:D4,CQPBBPMFNV,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,301,N/A,N/A,N/A,41,Very Low
Ethernet Connection,10.8.57.149,64:00:6A:B2:CF:32,CQPBHFLAAT,IT,Computers,Dell,PC,OptiPlex 9020,WY4Y4057DCY,Windows 10 1909,N/A,N/A,301,N/A,N/A,N/A,49,Medium
Wireless Connection,10.8.57.223,08:09:0B:43:1F:88,CQPBHFLHYY,IoT,Mobile Devices,Apple,Smartphone,iPhone,N/A,iOS,N/A,N/A,301,N/A,BR58181645,bronx > Building 5 > Floor 2,59,Medium
Ethernet Connection,10.8.57.106,00:24:DD:FC:6F:E2,CQPBIPZWPH,IoT,General IoT,Centrak,RTLS,BLE Beacon,N/A,Proprietary,N/A,N/A,301,N/A,N/A,N/A,64,High
Wireless Connection,10.8.58.85,08:09:0B:E4:22:8A,CQPBIRTLGL,IoT,Mobile Devices,Apple,Smartphone,iPhone 8,N/A,iOS,N/A,N/A,301,N/A,CO54766359,columbia > Building 5 > Floor 1,45,Medium
Wireless Connection,10.8.58.95,08:09:0B:5D:68:4C,CQPBIRTOOU,IoT,Mobile Devices,Apple,Smartphone,iPhone 8,N/A,iOS,N/A,N/A,301,N/A,CO78546069,columbia > Building 3 > Floor 5,66,High
Ethernet Connection,10.8.58.188,00:07:4D:05:2C:68,CQPBIRTQWG,IoT,General IoT,Zebra Technologies,Mobile Printer,ZT410,F63RFGPQ,Proprietary Link-OS,V75.20.01Z,N/A,301,N/A,N/A,N/A,70,Critical
Wireless Connection,10.8.57.250,08:09:0B:C8:3C:4A,CQPBKAPAHU,IoT,Mobile Devices,Apple,Smartphone,iPhone 8 Plus,N/A,iOS,N/A,N/A,301,N/A,WA70604587,washington > Building 4 > Floor 1,43,Very Low
Ethernet Connection,10.8.57.124,00:24:DD:B5:D0:22,CQPBLLDQCA,IoT,General IoT,Centrak,RTLS,BLE Beacon,N/A,Proprietary,N/A,N/A,301,N/A,N/A,N/A,52,Medium
Ethernet Connection,10.8.57.16,A4:4E:31:7D:5A:8C,CQPBMVRZSK,Medical,Clinical IoT,iSirona,Medical Device Integrator,DeviceConX Fanless PC,N/A,Windows 10/Server 2016 1709,N/A,N/A,301,N/A,N/A,N/A,50,Medium
Ethernet Connection,10.8.57.125,00:24:DD:FF:34:7D,CQPBMVSLDC,IoT,General IoT,Centrak,RTLS,LF Exciter,N/A,Proprietary,N/A,N/A,301,N/A,N/A,N/A,76,Critical
Ethernet Connection,10.8.57.179,E4:E7:49:E7:B6:3B,CQPBOGHILE,IT,Servers,Dell,Server,PowerEdge 640,N/A,Windows Server 2019,N/A,N/A,301,N/A,N/A,N/A,34,Very Low
Ethernet Connection,10.8.57.180,64:00:6A:F8:FA:EB,CQPBPQWDMG,IT,Servers,Dell,Server,PowerEdge 640,N/A,Windows Server 2019,N/A,N/A,301,N/A,N/A,N/A,80,Critical
Ethernet Connection,10.8.58.187,00:07:4D:3D:AA:3B,CQPBREXGMC,IoT,General IoT,Zebra Technologies,Mobile Printer,ZT410,YS7HC48F0,Proprietary Link-OS,V75.20.01Z,N/A,301,N/A,N/A,N/A,66,High
Wireless Connection,10.8.58.38,08:09:0B:83:56:0C,CQPBSPSZLL,IoT,Mobile Devices,Apple,Smartphone,iPhone 6s Plus,N/A,iOS,N/A,N/A,301,N/A,WA82202397,washington > Building 5 > Floor 3,60,High
Ethernet Connection,10.8.58.132,00:18:78:E9:D8:87,CQPBSPTONT,Medical,Patient Devices,Roche,Glucose Meter,Accu-Chek Inform II,9GHG4D4J4,Linux,4.9.8.39,K1,301,N/A,N/A,N/A,52,Medium
Serial Connection,10.8.57.16 / 2503,A4:4E:31:0A:22:98,CQPBTWOCLE,Medical,Surgery,GE,Anesthesia Monitor,Datex-Ohmeda S5,N/A,Datalight ROM-DOS,N/A,N/A,301,CQPBMVRZSK,N/A,N/A,56,Medium
Ethernet Connection,10.8.57.47,00:50:F9:E3:12:EA,CQPBVHCWSM,IoT,Physical Security,Tyco,Access Control,iSTAR,N/A,Windows CE,N/A,N/A,301,N/A,N/A,N/A,62,High
Serial Connection,10.8.57.16 / 1502,A4:4E:31:C6:7B:80,CQPBVHCXMG,Medical,Surgery,GE,Anesthesia Machine,Datex-Ohmeda Avance,N/A,Nucleus,N/A,N/A,301,CQPBMVRZSK,N/A,N/A,30,Very Low
Ethernet Connection,10.8.57.15,00:17:C5:F0:93:5B,CQPBVHCXWD,Medical,Surgery,Intuitive Surgical,Robotic Surgery System,DaVinci Robot,G1LSBRCZNP,QNX,N/A,N/A,301,N/A,N/A,N/A,49,Medium
Ethernet Connection,10.8.57.105,00:24:DD:D4:A2:AE,CQPBVHDKUF,IoT,General IoT,Centrak,RTLS,BLE Beacon,N/A,Proprietary,N/A,N/A,301,N/A,N/A,N/A,63,High
Ethernet Connection,10.8.57.123,00:24:DD:1C:B8:C6,CQPBYCHDNG,IoT,General IoT,Centrak,RTLS,BLE Beacon,N/A,Proprietary,N/A,N/A,301,N/A,N/A,N/A,56,Medium
Ethernet Connection,10.8.57.46,00:50:F9:11:EB:FB,CQPBZMVNXG,IoT,Physical Security,Tyco,Access Control,iSTAR,N/A,Windows CE,N/A,N/A,301,N/A,N/A,N/A,44,Very Low
Ethernet Connection,10.8.57.82,00:27:90:90:08:9B,CQPBZMVZIC,IoT,Communication,Cisco,VoIP Phone,CP-8811,PN4CD,Proprietary,12.5.1,N/A,301,N/A,N/A,N/A,58,Medium
Ethernet Connection,10.8.57.177,64:00:6A:24:61:6B,CQPCCHZPKC,IT,Servers,Dell,Server,PowerEdge 340,N/A,Windows Server 2019,N/A,N/A,301,N/A,N/A,N/A,80,Critical
Ethernet Connection,10.8.58.133,B8:78:79:33:82:44,CQPCCNTRDL,Medical,Patient Devices,Roche,Glucose Meter,Accu-Chek Inform II,KA42KK5CA,Linux,4.9.8.39,K1,301,N/A,N/A,N/A,68,High
Ethernet Connection,10.8.57.178,64:00:6A:A0:3B:1E,CQPCDSOKLE,IT,Servers,Dell,Server,PowerEdge 340,N/A,Windows Server 2019,N/A,N/A,301,N/A,N/A,N/A,67,High
Ethernet Connection,10.8.58.189,0A:65:BC:A8:CA:5C,CQPCDYQDTQ,IT,Computers,N/A,PC,N/A,N/A,N/A,N/A,N/A,301,N/A,N/A,N/A,80,Critical
Ethernet Connection,10.8.57.148,E4:E7:49:E8:C7:9C,CQPCGNSCKP,IT,Computers,Dell,PC,Optiplex 5040,K8KWZ,Windows 10 1909,N/A,N/A,301,N/A,N/A,N/A,32,Very Low
Ethernet Connection,10.8.57.104,00:24:DD:2F:73:E3,CQPCGNSDEJ,IoT,General IoT,Centrak,RTLS,BLE Beacon,N/A,Proprietary,N/A,N/A,301,N/A,N/A,N/A,51,Medium
Wireless Connection,10.8.58.7,08:09:0B:F4:64:78,CQPCGUICNI,IoT,Mobile Devices,Apple,Smartphone,iPhone 6,N/A,iOS,N/A,N/A,301,N/A,CL86174437,clinton > Building 3 > Floor 6,54,Medium
Ethernet Connection,10.8.57.176,E4:E7:49:61:0D:8F,CQPCJIVWRA,IT,Servers,Dell,Server,PowerEdge 640,N/A,Windows Server 2019,N/A,N/A,301,N/A,N/A,N/A,30,Very Low
Ethernet Connection,10.8.57.175,E4:E7:49:97:A5:1F,CQPCMDZOGO,IT,Servers,Dell,Server,PowerEdge 640,N/A,Windows Server 2019,N/A,N/A,301,N/A,N/A,N/A,78,Critical
Ethernet Connection,10.8.57.147,E4:E7:49:DD:95:32,CQPCNOOHKL,IT,Computers,Dell,PC,Optiplex 5040,3ALK6ISD,Windows 10 1909,N/A,N/A,301,N/A,N/A,N/A,80,Critical
Wireless Connection,10.8.58.73,08:09:0B:AD:F0:8B,CQPCPHLOJO,IoT,Mobile Devices,Apple,Smartphone,iPhone 4,N/A,iOS,N/A,N/A,301,N/A,AL81402941,albany > Building 5 > Floor 2,74,Critical
Ethernet Connection,10.8.57.146,E4:E7:49:84:D9:60,CQPCQJRYZZ,IT,Computers,HP,PC,ProDesk 600,TI180SS,Windows 10 1909,N/A,N/A,301,N/A,N/A,N/A,69,High
Wireless Connection,10.8.58.34,08:09:0B:88:9A:B3,CQPCQSIBST,IoT,Mobile Devices,Apple,Smartphone,iPhone 3G,N/A,iOS,N/A,N/A,301,N/A,AL53040313,albany > Building 1 > Floor 9,43,Very Low
Wireless Connection,10.8.58.163,00:05:12:F8:BD:0F,CQPCTEVVEF,IoT,General IoT,Zebra Technologies,Mobile Printer,QLn 220,90Z7QL94NCW,Proprietary Link-OS,V68.19.15Z,N/A,301,N/A,BR73393640,bronx > Building 2 > Floor 2,32,Very Low
